timestamp,event_id,user,workload,container_id,gpu_uuid,process,gpu_utilization_pct,memory_utilization_pct,power_watts,bytes_out_mb,destination,image_signed,privileged,host_pid_access,model_access,model_name,attestation_trusted,scenario,label,split
2026-08-12T00:00:00+00:00,evt-secure-0000,user-00,job-00,ctr-00,GPU-DEMO-0001,tritonserver,65.559,71.617,232.328,0.601,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:05:00+00:00,evt-secure-0001,user-01,job-01,ctr-01,GPU-DEMO-0002,python-train,74.02,75.659,228.584,0.279,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:10:00+00:00,evt-secure-0002,user-02,job-02,ctr-02,GPU-DEMO-0003,python-train,69.323,82.308,250.759,0.411,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:15:00+00:00,evt-secure-0003,user-03,job-03,ctr-03,GPU-DEMO-0001,tritonserver,68.105,74.971,266.466,0.783,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:20:00+00:00,evt-secure-0004,user-04,job-04,ctr-04,GPU-DEMO-0002,python-train,63.877,76.923,255.962,0.689,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:25:00+00:00,evt-secure-0005,user-05,job-05,ctr-05,GPU-DEMO-0003,python-train,64.594,77.546,198.652,1.074,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:30:00+00:00,evt-secure-0006,user-06,job-06,ctr-06,GPU-DEMO-0001,tritonserver,57.842,80.008,250.942,0.675,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:35:00+00:00,evt-secure-0007,user-07,job-07,ctr-07,GPU-DEMO-0002,python-train,54.809,72.31,227.946,0.21,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:40:00+00:00,evt-secure-0008,user-00,job-08,ctr-08,GPU-DEMO-0003,python-train,73.384,75.799,250.599,0.368,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:45:00+00:00,evt-secure-0009,user-01,job-09,ctr-09,GPU-DEMO-0001,tritonserver,71.785,69.24,246.984,0.431,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:50:00+00:00,evt-secure-0010,user-02,job-10,ctr-10,GPU-DEMO-0002,python-train,74.685,84.375,247.137,0.357,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T00:55:00+00:00,evt-secure-0011,user-03,job-11,ctr-11,GPU-DEMO-0003,python-train,75.358,80.623,200.352,0.237,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:00:00+00:00,evt-secure-0012,user-04,job-00,ctr-00,GPU-DEMO-0001,tritonserver,72.808,91.571,249.879,0.384,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:05:00+00:00,evt-secure-0013,user-05,job-01,ctr-01,GPU-DEMO-0002,python-train,60.906,80.618,221.396,0.224,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:10:00+00:00,evt-secure-0014,user-06,job-02,ctr-02,GPU-DEMO-0003,python-train,59.765,70.651,190.809,0.267,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:15:00+00:00,evt-secure-0015,user-07,job-03,ctr-03,GPU-DEMO-0001,tritonserver,56.175,82.548,234.557,0.112,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:20:00+00:00,evt-secure-0016,user-00,job-04,ctr-04,GPU-DEMO-0002,python-train,69.737,64.912,256.681,0.436,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:25:00+00:00,evt-secure-0017,user-01,job-05,ctr-05,GPU-DEMO-0003,python-train,70.81,71.792,269.16,0.157,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:30:00+00:00,evt-secure-0018,user-02,job-06,ctr-06,GPU-DEMO-0001,tritonserver,43.241,78.688,248.34,0.301,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:35:00+00:00,evt-secure-0019,user-03,job-07,ctr-07,GPU-DEMO-0002,python-train,61.501,86.799,209.678,0.178,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:40:00+00:00,evt-secure-0020,user-04,job-08,ctr-08,GPU-DEMO-0003,python-train,62.538,70.086,237.347,0.527,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:45:00+00:00,evt-secure-0021,user-05,job-09,ctr-09,GPU-DEMO-0001,tritonserver,54.587,80.082,235.076,0.248,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
2026-08-12T01:50:00+00:00,evt-secure-0022,user-06,job-10,ctr-10,GPU-DEMO-0002,python-train,84.457,59.553,258.775,0.402,model-registry.internal,True,False,False,True,sentinel-7b-demo,True,secure,benign,demo
