timestamp,event_id,user,workload,container_id,gpu_uuid,process,gpu_utilization_pct,memory_utilization_pct,power_watts,bytes_out_mb,destination,image_signed,privileged,host_pid_access,model_access,model_name,attestation_trusted,scenario,label,split
2026-08-12T00:00:00+00:00,evt-compromi-0000,user-00,job-00,ctr-00,GPU-DEMO-0001,tritonserver,64.435,55.396,237.19,0.17,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:05:00+00:00,evt-compromi-0001,user-01,job-01,ctr-01,GPU-DEMO-0002,python-train,67.218,60.562,222.5,0.377,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:10:00+00:00,evt-compromi-0002,user-02,job-02,ctr-02,GPU-DEMO-0003,python-train,67.298,66.778,185.527,0.515,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:15:00+00:00,evt-compromi-0003,user-03,job-03,ctr-03,GPU-DEMO-0001,tritonserver,71.285,86.299,275.281,0.155,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:20:00+00:00,evt-compromi-0004,user-04,job-04,ctr-04,GPU-DEMO-0002,python-train,62.23,63.854,251.097,0.272,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:25:00+00:00,evt-compromi-0005,user-05,job-05,ctr-05,GPU-DEMO-0003,python-train,67.497,76.089,242.921,0.486,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:30:00+00:00,evt-compromi-0006,user-06,job-06,ctr-06,GPU-DEMO-0001,tritonserver,64.615,73.423,240.562,0.456,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:35:00+00:00,evt-compromi-0007,user-07,job-07,ctr-07,GPU-DEMO-0002,python-train,36.75,70.301,202.184,0.141,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:40:00+00:00,evt-compromi-0008,user-00,job-08,ctr-08,GPU-DEMO-0003,python-train,62.152,69.546,233.126,0.252,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:45:00+00:00,evt-compromi-0009,user-01,job-09,ctr-09,GPU-DEMO-0001,tritonserver,75.725,89.005,221.904,0.297,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:50:00+00:00,evt-compromi-0010,user-02,job-10,ctr-10,GPU-DEMO-0002,python-train,84.104,65.64,278.755,1.02,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T00:55:00+00:00,evt-compromi-0011,user-03,job-11,ctr-11,GPU-DEMO-0003,python-train,68.925,70.062,224.886,0.379,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
2026-08-12T01:00:00+00:00,evt-compromi-0012,user-04,job-00,ctr-00,GPU-DEMO-0001,tritonserver,56.268,80.07,213.391,0.248,model-registry.internal,True,False,False,True,sentinel-7b-demo,False,compromised,benign,demo
